date_text,date_d,group_id,item_id,daily_sales,warehouse,item_price,item_style,fabric_type,fabric_color,fabric_pattern,item_cut,consultant_no,holiday,max_temp,average_temp,min_temp,mid_point,max_humidity,average_humidity,min_humidity,max_wind,average_wind,max_gust,precipitation,testing_data
20160901,01-09-16,t,t0001,13.00,16.00,700.00,casual,polyester,purple,plain,1.00,7.00,0.00,24.40,17.60,10.70,11.40,95.00,71.00,46.00,6.00,0.00,8.00,0.00,0.00
20160902,02-09-16,t,t0001,16.00,19.00,700.00,casual,polyester,purple,plain,1.00,9.00,0.00,28.10,20.70,13.30,11.50,83.00,60.00,35.00,8.00,0.00,10.00,0.00,0.00
20160903,03-09-16,t,t0001,24.00,43.00,700.00,casual,polyester,purple,plain,1.00,9.00,1.00,26.20,20.40,14.70,13.30,84.00,67.00,41.00,8.00,0.00,10.00,0.00,0.00
20160904,04-09-16,t,t0001,20.00,50.00,700.00,casual,polyester,purple,plain,1.00,9.00,1.00,28.40,20.60,12.80,12.30,90.00,63.00,38.00,10.00,0.00,18.00,0.00,0.00
20160905,05-09-16,t,t0001,22.00,17.00,700.00,casual,polyester,purple,plain,1.00,9.00,0.00,30.60,24.10,17.60,13.80,73.00,56.00,38.00,5.00,0.00,13.00,0.00,0.00
20160906,06-09-16,t,t0001,18.00,18.00,700.00,casual,polyester,purple,plain,1.00,8.00,0.00,27.30,22.10,16.80,16.40,92.00,76.00,55.00,8.00,1.00,11.00,0.00,0.00
20160907,07-09-16,t,t0001,34.00,62.00,700.00,casual,polyester,purple,plain,1.00,6.00,0.00,26.00,19.70,13.40,12.90,93.00,67.00,45.00,5.00,0.00,13.00,0.00,0.00
20160908,08-09-16,t,t0001,29.00,10.00,700.00,casual,polyester,purple,plain,1.00,10.00,0.00,28.10,20.90,13.70,11.10,83.00,57.00,33.00,6.00,0.00,14.00,0.00,0.00
20160909,09-09-16,t,t0001,19.00,98.00,700.00,casual,polyester,purple,plain,1.00,8.00,0.00,25.40,19.40,13.30,13.20,95.00,69.00,42.00,6.00,0.00,11.00,0.00,0.00
20160910,10-09-16,t,t0001,27.00,8.00,700.00,casual,polyester,purple,plain,1.00,8.00,1.00,27.20,19.90,12.70,12.70,82.00,67.00,47.00,3.00,0.00,6.00,0.00,0.00
20160911,11-09-16,t,t0001,28.00,17.00,700.00,casual,polyester,purple,plain,1.00,8.00,1.00,30.00,22.60,15.10,12.50,80.00,56.00,35.00,5.00,0.00,8.00,0.00,0.00
20160912,12-09-16,t,t0001,5.00,81.00,700.00,casual,polyester,purple,plain,1.00,8.00,0.00,29.10,23.20,17.20,14.80,83.00,64.00,47.00,8.00,0.00,10.00,0.00,0.00
20160913,13-09-16,t,t0001,23.00,92.00,700.00,casual,polyester,purple,plain,1.00,5.00,0.00,25.50,21.20,16.80,13.80,83.00,74.00,57.00,5.00,0.00,6.00,0.00,0.00
20160914,14-09-16,t,t0001,29.00,99.00,700.00,casual,polyester,purple,plain,1.00,8.00,0.00,21.40,16.70,12.10,9.70,83.00,65.00,47.00,10.00,1.00,16.00,0.00,0.00
20160915,15-09-16,t,t0001,22.00,3.00,700.00,casual,polyester,purple,plain,1.00,8.00,0.00,20.30,14.20,8.00,8.40,90.00,70.00,51.00,8.00,0.00,13.00,0.00,0.00
20160916,16-09-16,t,t0001,39.00,24.00,700.00,casual,polyester,purple,plain,1.00,7.00,0.00,24.70,16.60,8.40,8.50,95.00,65.00,35.00,6.00,0.00,11.00,0.00,0.00
20160917,17-09-16,t,t0001,36.00,3.00,700.00,casual,polyester,purple,plain,1.00,9.00,1.00,19.70,15.20,10.70,9.70,93.00,72.00,47.00,8.00,0.00,11.00,0.00,0.00
20160918,18-09-16,t,t0001,29.00,53.00,700.00,casual,polyester,purple,plain,1.00,7.00,1.00,18.60,13.20,7.90,6.80,95.00,71.00,40.00,5.00,0.00,10.00,0.00,0.00
20160919,19-09-16,t,t0001,19.00,51.00,700.00,casual,polyester,purple,plain,1.00,8.00,0.00,18.10,11.50,4.90,5.20,98.00,70.00,43.00,5.00,0.00,10.00,0.00,0.00
20160920,20-09-16,t,t0001,24.00,29.00,700.00,casual,polyester,purple,plain,1.00,9.00,0.00,13.70,10.10,6.60,3.90,81.00,67.00,48.00,5.00,0.00,11.00,0.00,0.00
20160921,21-09-16,t,t0001,44.00,47.00,700.00,casual,polyester,purple,plain,1.00,8.00,0.00,8.70,7.70,6.80,6.70,96.00,94.00,92.00,0.00,0.00,5.00,0.38,0.00
20160922,22-09-16,t,t0001,25.00,87.00,700.00,casual,polyester,purple,plain,1.00,9.00,0.00,9.50,8.70,8.10,7.40,96.00,92.00,89.00,6.00,0.00,8.00,0.41,0.00
20160923,23-09-16,t,t0001,22.00,12.00,700.00,casual,polyester,purple,plain,1.00,9.00,0.00,13.40,9.10,7.30,6.80,95.00,86.00,63.00,11.00,0.00,13.00,0.00,0.00
20160924,24-09-16,t,t0001,28.00,2.00,700.00,casual,polyester,purple,plain,1.00,9.00,1.00,19.20,12.60,7.60,8.30,93.00,76.00,57.00,13.00,0.00,13.00,0.00,0.00
20160925,25-09-16,t,t0001,30.00,63.00,700.00,casual,polyester,purple,plain,1.00,8.00,1.00,16.60,12.10,8.40,9.90,98.00,87.00,69.00,10.00,0.00,11.00,0.00,0.00
20160926,26-09-16,t,t0001,42.00,92.00,700.00,casual,polyester,purple,plain,1.00,6.00,0.00,15.80,11.60,8.90,7.80,88.00,78.00,61.00,14.00,1.00,14.00,0.00,0.00
20160927,27-09-16,t,t0001,17.00,17.00,700.00,casual,polyester,purple,plain,1.00,7.00,0.00,12.80,10.20,7.10,7.30,95.00,83.00,66.00,10.00,0.00,10.00,0.00,0.00
20160928,28-09-16,t,t0001,17.00,8.00,700.00,casual,polyester,purple,plain,1.00,6.00,0.00,16.30,11.90,9.30,9.20,93.00,84.00,65.00,6.00,0.00,8.00,0.00,0.00
20160929,29-09-16,t,t0001,17.00,90.00,700.00,casual,polyester,purple,plain,1.00,10.00,0.00,20.10,14.30,10.90,10.60,91.00,78.00,60.00,13.00,0.00,19.00,0.00,0.00
20160930,30-09-16,t,t0001,23.00,92.00,700.00,casual,polyester,purple,plain,1.00,11.00,0.00,26.20,17.30,9.60,12.40,97.00,75.00,48.00,14.00,0.00,19.00,0.00,0.00
20161001,01-10-16,t,t0001,40.00,55.00,700.00,casual,polyester,purple,plain,1.00,8.00,1.00,26.00,18.70,11.70,13.40,95.00,73.00,48.00,8.00,0.00,8.00,0.00,0.00
20161002,02-10-16,t,t0001,24.00,5.00,700.00,casual,polyester,purple,plain,1.00,9.00,1.00,19.90,16.40,13.10,13.80,91.00,84.00,76.00,11.00,0.00,11.00,0.00,0.00
20161003,03-10-16,t,t0001,17.00,94.00,700.00,casual,polyester,purple,plain,1.00,9.00,0.00,23.20,15.60,10.00,12.20,99.00,82.00,56.00,6.00,0.00,6.00,0.00,0.00
20161004,04-10-16,t,t0001,27.00,27.00,700.00,casual,polyester,purple,plain,1.00,8.00,0.00,20.90,15.50,12.00,12.20,96.00,81.00,62.00,3.00,0.00,10.00,0.23,0.00
20161005,05-10-16,t,t0001,11.00,97.00,700.00,casual,polyester,purple,plain,1.00,7.00,0.00,14.40,12.60,8.20,12.00,98.00,96.00,93.00,10.00,0.00,14.00,1.96,0.00
20161006,06-10-16,t,t0001,43.00,76.00,700.00,casual,polyester,purple,plain,1.00,7.00,0.00,14.10,8.10,3.10,5.80,98.00,86.00,64.00,6.00,0.00,6.00,0.00,0.00
20161007,07-10-16,t,t0001,23.00,99.00,700.00,casual,polyester,purple,plain,1.00,8.00,0.00,11.80,7.80,4.70,7.00,98.00,95.00,81.00,13.00,0.00,13.00,0.46,0.00
20161008,08-10-16,t,t0001,36.00,55.00,700.00,casual,polyester,purple,plain,1.00,8.00,1.00,9.10,6.10,2.60,5.40,99.00,96.00,87.00,21.00,1.00,21.00,1.52,0.00
